event_id,vehicle_id,vehicle_model,oem,event_ts,sensor_type,event_type,speed_kmph,confidence,severity
E10000,V007,Hatch-B,OEM_A,2026-08-01 08:00:00,camera,forward_collision,97.6,0.968,LOW
E10001,V020,EV-Z,OEM_B,2026-08-01 08:15:00,ultrasonic,adaptive_cruise,104.9,0.869,LOW
E10002,V015,Hatch-B,OEM_B,2026-08-01 08:30:00,lidar,forward_collision,128.8,0.82,MEDIUM
E10003,V011,SUV-X,OEM_B,2026-08-01 08:45:00,camera,adaptive_cruise,53.6,1.2,HIGH
E10004,V008,EV-Z,OEM_C,2026-08-01 09:00:00,ultrasonic,normal,48.4,0.96,LOW
E10005,V007,SUV-X,OEM_C,2026-08-01 09:15:00,lidar,lane_departure,100.9,0.931,LOW
E10006,V019,EV-Z,OEM_A,2026-08-01 09:30:00,ultrasonic,blind_spot,44.3,0.57,LOW
E10007,V011,EV-Z,OEM_A,2026-08-01 09:45:00,radar,adaptive_cruise,-10.0,0.562,LOW
E10008,V011,Sedan-A,OEM_C,2026-08-01 10:00:00,camera,lane_departure,111.6,0.716,LOW
E10009,V004,SUV-X,OEM_B,2026-08-01 10:15:00,radar,forward_collision,55.8,0.907,LOW
E10010,V008,Hatch-B,OEM_A,2026-08-01 10:30:00,lidar,forward_collision,97.6,0.984,LOW
,V003,Hatch-B,OEM_C,2026-08-01 10:45:00,radar,lane_departure,98.1,0.616,LOW
E10012,V002,SUV-X,OEM_C,2026-08-01 11:00:00,radar,forward_collision,13.4,0.811,LOW
E10013,V012,Hatch-B,OEM_C,2026-08-01 11:15:00,lidar,normal,117.3,0.718,LOW
E10014,V006,Hatch-B,OEM_B,2026-08-01 11:30:00,ultrasonic,normal,65.7,0.977,LOW
E10015,V002,SUV-X,OEM_C,2026-08-01 11:45:00,radar,lane_departure,107.4,0.921,LOW
E10016,V001,EV-Z,OEM_C,2026-08-01 12:00:00,ultrasonic,adaptive_cruise,41.6,0.919,LOW
E10017,V012,SUV-X,OEM_C,2026-08-01 12:15:00,radar,adaptive_cruise,116.4,0.756,HIGH
E10018,V012,EV-Z,OEM_C,2026-08-01 12:30:00,ultrasonic,lane_departure,50.6,0.733,MEDIUM
E10019,V017,Hatch-B,OEM_A,2026-08-01 12:45:00,lidar,adaptive_cruise,1.4,0.67,MEDIUM
E10020,V010,Hatch-B,OEM_A,2026-08-01 13:00:00,radar,adaptive_cruise,117.7,0.575,MEDIUM
E10021,V016,Hatch-B,OEM_C,2026-08-01 13:15:00,lidar,normal,11.9,0.93,LOW
E10022,V015,Sedan-A,OEM_B,2026-08-01 13:30:00,radar,adaptive_cruise,41.5,0.908,LOW
E10023,V015,EV-Z,OEM_A,2026-08-01 13:45:00,lidar,pedestrian_detected,123.5,0.99,LOW
E10024,V019,Sedan-A,OEM_C,2026-08-01 14:00:00,lidar,blind_spot,123.6,0.989,MEDIUM
E10025,V012,Sedan-A,OEM_A,2026-08-01 14:15:00,radar,forward_collision,74.5,0.794,MEDIUM
