order_id,customer_id,order_date,product_id,quantity,unit_price,status
1,1071,2026-08-21,P016,2,22.26,COMPLETED
2,1140,2026-08-05,P006,2,341.58,RETURNED
3,1056,2026-08-14,P015,1,24.60,RETURNED
4,1184,2026-08-20,P042,1,285.01,RETURNED
5,1072,2026-08-14,P001,4,230.11,COMPLETED
6,1040,2026-08-23,P014,7,176.72,COMPLETED
7,1092,2026-08-04,P023,2,196.16,RETURNED
8,1138,2026-08-09,P008,1,367.57,CANCELLED
9,1159,2026-08-03,P024,5,416.41,RETURNED
10,1059,2026-08-07,P050,2,32.45,COMPLETED
11,1098,2026-08-03,P018,4,434.58,CANCELLED
12,1091,2026-08-21,P014,6,89.70,COMPLETED
13,1044,2026-08-23,P035,2,308.47,COMPLETED
14,1164,2026-08-06,P045,8,195.93,RETURNED
15,1199,2026-08-08,P004,6,423.00,COMPLETED
16,1103,2026-08-27,P018,1,404.47,COMPLETED
17,1128,2026-08-07,P026,6,114.19,CANCELLED
18,1191,2026-08-05,P036,5,78.42,RETURNED
19,1103,2026-08-09,P024,7,449.93,COMPLETED
20,1013,2026-08-05,P008,8,54.55,COMPLETED
21,1109,2026-08-21,P039,3,398.12,COMPLETED
22,1120,2026-08-13,P034,7,301.99,COMPLETED
23,1030,2026-08-18,P044,1,343.34,RETURNED
24,1088,2026-08-25,P008,5,386.61,COMPLETED
25,1185,2026-08-14,P047,3,232.32,COMPLETED
26,1028,2026-08-17,P041,3,258.76,COMPLETED
27,1196,2026-08-27,P011,4,84.89,RETURNED
28,1126,2026-08-25,P002,1,303.48,COMPLETED
29,1062,2026-08-12,P037,5,127.33,COMPLETED
30,1195,2026-08-03,P035,8,409.85,COMPLETED
31,1043,2026-08-05,P017,8,473.96,RETURNED
32,1139,2026-08-20,P049,7,482.54,COMPLETED
33,1172,2026-08-23,P042,5,205.51,COMPLETED
34,1058,2026-08-15,P005,8,69.29,COMPLETED
35,1002,2026-08-01,P005,4,298.34,COMPLETED
36,1085,2026-08-08,P005,2,453.66,RETURNED
37,1055,2026-08-08,P035,5,337.80,COMPLETED
38,1122,2026-08-24,P027,8,129.07,COMPLETED
39,1091,2026-08-04,P028,2,332.90,CANCELLED
40,1166,2026-08-15,P007,1,339.95,COMPLETED
41,1028,2026-08-13,P016,6,402.29,COMPLETED
42,1047,2026-08-07,P018,8,78.69,CANCELLED
43,1141,2026-08-08,P007,2,227.13,COMPLETED
44,1193,2026-08-21,P016,1,484.81,COMPLETED
45,1103,2026-08-14,P004,8,245.87,COMPLETED
46,1068,2026-08-13,P030,1,492.80,COMPLETED
47,1076,2026-08-14,P014,8,85.85,COMPLETED
48,1015,2026-08-19,P004,1,376.51,RETURNED
49,1131,2026-08-16,P006,3,37.87,COMPLETED
50,1061,2026-08-03,P026,2,340.85,COMPLETED
51,1011,2026-08-19,P040,4,293.67,COMPLETED
52,1053,2026-08-14,P043,6,468.01,COMPLETED
53,1172,2026-08-08,P042,5,203.94,COMPLETED
54,1019,2026-08-15,P001,6,465.22,CANCELLED
55,1055,2026-08-20,P033,2,45.90,COMPLETED
56,1063,2026-08-05,P024,6,441.62,COMPLETED
57,1181,2026-08-06,P020,8,418.54,RETURNED
58,1142,2026-08-26,P020,1,337.25,COMPLETED
59,1028,2026-08-05,P048,5,66.56,RETURNED
60,1054,2026-08-05,P046,5,148.06,COMPLETED
61,1065,2026-08-07,P004,5,257.65,COMPLETED
62,1012,2026-08-21,P001,7,416.38,COMPLETED
63,1068,2026-08-25,P011,3,322.19,CANCELLED
64,1029,2026-08-18,P005,7,284.84,COMPLETED
65,1150,2026-08-18,P036,1,418.95,COMPLETED
66,1094,2026-08-14,P003,3,30.50,COMPLETED
67,1091,2026-08-07,P050,4,336.80,RETURNED
68,1061,2026-08-14,P011,3,463.62,COMPLETED
69,1086,2026-08-14,P027,1,97.89,COMPLETED
70,1028,2026-08-09,P025,3,395.81,COMPLETED
71,1118,2026-08-16,P023,4,107.79,COMPLETED
72,1169,2026-08-27,P013,4,119.23,CANCELLED
73,1198,2026-08-11,P018,5,433.53,COMPLETED
74,1138,2026-08-21,P022,7,342.96,COMPLETED
75,1068,2026-08-04,P003,5,97.50,COMPLETED
76,1081,2026-08-20,P028,7,179.39,RETURNED
77,1148,2026-08-17,P013,2,198.75,COMPLETED
78,1138,2026-08-02,P044,7,10.83,COMPLETED
79,1171,2026-08-12,P022,7,44.29,RETURNED
80,1077,2026-08-11,P033,2,362.68,COMPLETED
81,1179,2026-08-22,P019,7,169.83,RETURNED
82,1098,2026-08-05,P044,4,216.02,COMPLETED
83,1001,2026-08-20,P020,5,208.98,COMPLETED
84,1156,2026-08-07,P042,7,395.02,COMPLETED
85,1055,2026-08-15,P033,8,226.66,CANCELLED
86,1073,2026-08-26,P033,3,332.84,RETURNED
87,1193,2026-08-11,P016,2,411.03,COMPLETED
88,1012,2026-08-08,P016,4,82.20,CANCELLED
89,1162,2026-08-20,P037,2,233.15,COMPLETED
90,1063,2026-08-23,P010,7,252.24,COMPLETED
91,1057,2026-08-25,P012,2,391.43,RETURNED
92,1032,2026-08-15,P030,1,283.13,COMPLETED
93,1144,2026-08-26,P039,8,337.11,COMPLETED
94,1185,2026-08-25,P033,8,310.20,CANCELLED
95,1191,2026-08-27,P031,8,449.63,CANCELLED
96,1071,2026-08-09,P050,4,421.53,RETURNED
97,1020,2026-08-16,P046,4,144.55,COMPLETED
98,1139,2026-08-08,P006,5,174.57,COMPLETED
99,1040,2026-08-05,P046,4,197.69,COMPLETED
100,,2026-08-03,P030,7,209.72,CANCELLED
101,1100,2026-08-02,P050,4,418.12,RETURNED
102,1196,2026-08-23,P037,1,429.80,CANCELLED
103,1077,2026-08-16,P049,1,471.94,CANCELLED
104,1189,2026-08-27,P035,7,273.73,RETURNED
105,1112,2026-08-08,P032,8,117.52,COMPLETED
106,1104,2026-08-13,P047,6,337.75,COMPLETED
107,1160,2026-08-27,P035,8,460.58,COMPLETED
108,1110,2026-08-13,P009,1,51.13,CANCELLED
109,1084,2026-08-06,P014,1,137.48,CANCELLED
110,1098,2026-08-11,P018,6,383.00,CANCELLED
111,1192,2026-08-09,P035,2,240.45,COMPLETED
112,1200,2026-08-12,P042,4,328.57,COMPLETED
113,1052,2026-08-25,P002,1,475.31,RETURNED
114,1172,2026-08-05,P008,4,71.85,RETURNED
115,1197,2026-08-07,P024,8,352.74,COMPLETED
116,1042,2026-08-20,P020,2,391.12,COMPLETED
117,1148,2026-08-19,P044,1,465.15,CANCELLED
118,1177,2026-08-13,P041,4,47.24,COMPLETED
119,1154,2026-08-04,P008,5,426.64,RETURNED
120,1110,2026-08-26,P043,1,180.13,COMPLETED
121,1108,2026-08-03,P032,6,16.20,COMPLETED
122,1118,2026-08-14,P046,6,321.44,COMPLETED
123,1167,2026-08-14,P018,3,369.56,RETURNED
124,1188,2026-08-26,P038,8,237.79,COMPLETED
125,1023,2026-08-11,P018,4,417.06,CANCELLED
126,1172,2026-08-08,P025,8,289.23,COMPLETED
127,1047,2026-08-01,P032,8,426.97,COMPLETED
128,1153,2026-08-12,P045,5,176.77,COMPLETED
129,1049,2026-08-18,P006,1,263.15,COMPLETED
130,1195,2026-08-24,P016,7,249.40,CANCELLED
131,1005,2026-08-21,P006,8,229.61,COMPLETED
132,1079,2026-08-08,P043,7,348.98,RETURNED
133,1089,2026-08-12,P028,8,281.20,RETURNED
