customer_id,segment,annual_spend,last_purchase_date,marketing_opt_in
CUST0000001,Regular,81093.76,2026-03-24,N
CUST0000002,At Risk,66213.8,2026-04-17,Y
CUST0000003,At Risk,16591.15,2026-03-17,N
CUST0000004,Occasional,48501.18,2026-03-13,Y
CUST0000005,Regular,29250.01,2026-01-13,N
CUST0000006,At Risk,66072.6,2026-04-18,Y
CUST0000007,Occasional,42285.31,2026-06-13,Y
CUST0000008,At Risk,25528.58,2026-03-05,N
CUST0000009,At Risk,33025.4,2026-05-23,Y
CUST0000010,Occasional,60574.75,2026-07-22,N
CUST0000011,High Value,39799.28,2026-01-22,Y
CUST0000012,At Risk,3560.66,2026-03-27,N
CUST0000013,Regular,46907.19,2026-03-24,Y
CUST0000014,Occasional,54140.06,2026-03-28,Y
CUST0000015,At Risk,37495.85,2026-03-16,Y
CUST0000016,High Value,45354.9,2026-04-26,Y
CUST0000017,Regular,20871.03,2026-07-21,N
CUST0000018,Occasional,72438.09,2026-03-01,Y
CUST0000019,At Risk,38740.98,2026-06-12,Y
CUST0000020,Regular,15053.89,2026-01-11,Y
CUST0000021,At Risk,36997.72,2026-06-02,N
CUST0000022,Regular,7218.21,2026-07-23,N
CUST0000023,Occasional,47416.87,2026-06-23,Y
CUST0000024,At Risk,38929.8,2026-07-19,N
CUST0000025,Occasional,49357.77,2026-01-27,Y
CUST0000026,At Risk,45253.42,2026-03-29,N
CUST0000027,At Risk,21872.27,2026-07-08,Y
CUST0000028,Occasional,76487.9,2026-02-17,N
CUST0000029,Occasional,97896.04,2026-04-17,N
CUST0000030,At Risk,14922.58,2026-07-08,Y
CUST0000031,Occasional,97949.64,2026-01-14,N
CUST0000032,Regular,22110.35,2026-05-01,Y
CUST0000033,At Risk,91674.87,2026-01-23,Y
CUST0000034,At Risk,2669.63,2026-02-13,Y
CUST0000035,High Value,69093.4,2026-06-21,N
CUST0000036,At Risk,84398.47,2026-05-12,N
CUST0000037,High Value,13935.49,2026-03-16,N
CUST0000038,High Value,73811.18,2026-07-10,Y
CUST0000039,Regular,38795.69,2026-03-27,N
CUST0000040,High Value,17400.04,2026-05-18,Y
CUST0000041,At Risk,71569.0,2026-03-19,N
CUST0000042,High Value,97171.58,2026-07-14,Y
CUST0000043,Occasional,52124.32,2026-06-11,N
CUST0000044,Occasional,26564.6,2026-07-12,N
CUST0000045,High Value,44154.99,2026-07-26,Y
CUST0000046,High Value,66191.66,2026-04-22,Y
CUST0000047,Occasional,65597.6,2026-03-22,N
CUST0000048,Occasional,70011.65,2026-05-25,Y
CUST0000049,High Value,41765.0,2026-05-09,Y
CUST0000050,At Risk,66320.51,2026-05-07,Y
CUST0000051,Regular,86487.97,2026-03-13,Y
CUST0000052,Occasional,46958.33,2026-07-08,N
CUST0000053,Regular,49242.79,2026-05-18,Y
CUST0000054,Occasional,34294.04,2026-03-02,N
CUST0000055,At Risk,82216.5,2026-01-12,N
CUST0000056,High Value,84293.64,2026-04-19,N
CUST0000057,High Value,50288.76,2026-06-06,Y
CUST0000058,High Value,59146.71,2026-06-22,Y
CUST0000059,Occasional,196.7,2026-07-28,Y
CUST0000060,At Risk,70395.66,2026-01-12,N
CUST0000061,High Value,25706.38,2026-03-15,N
CUST0000062,High Value,33597.34,2026-06-09,N
CUST0000063,High Value,58485.38,2026-01-17,N
CUST0000064,Occasional,59672.89,2026-06-06,Y
CUST0000065,Regular,79664.41,2026-04-17,Y
CUST0000066,Occasional,95176.21,2026-07-13,Y
CUST0000067,Occasional,48733.17,2026-03-01,N
CUST0000068,At Risk,59318.26,2026-01-31,N
CUST0000069,High Value,80575.92,2026-04-10,N
CUST0000070,Regular,80424.07,2026-07-28,N
CUST0000071,High Value,85315.43,2026-01-23,N
CUST0000072,High Value,66429.94,2026-03-30,N
CUST0000073,High Value,72023.41,2026-06-21,Y
CUST0000074,At Risk,51365.85,2026-05-27,N
CUST0000075,Regular,4744.75,2026-05-20,N
CUST0000076,Regular,28511.76,2026-02-16,Y
CUST0000077,At Risk,80673.51,2026-02-10,N
CUST0000078,At Risk,87207.84,2026-02-06,N
CUST0000079,Regular,49680.39,2026-04-02,Y
CUST0000080,At Risk,9033.65,2026-06-02,N
CUST0000081,Regular,85881.73,2026-06-06,N
CUST0000082,Occasional,48658.88,2026-03-11,Y
CUST0000083,At Risk,3071.93,2026-01-12,Y
CUST0000084,Regular,67191.5,2026-02-21,Y
CUST0000085,Occasional,57884.71,2026-06-24,N
CUST0000086,Regular,53724.85,2026-04-24,Y
CUST0000087,Occasional,7974.05,2026-01-04,N
CUST0000088,High Value,17463.94,2026-07-04,Y
CUST0000089,Occasional,29167.29,2026-02-10,Y
CUST0000090,High Value,34092.46,2026-04-13,Y
CUST0000091,Occasional,50677.03,2026-04-03,N
CUST0000092,High Value,71339.78,2026-07-13,N
CUST0000093,Occasional,79721.46,2026-06-27,Y
CUST0000094,Occasional,75252.82,2026-06-23,N
CUST0000095,High Value,15037.53,2026-04-23,N
CUST0000096,Regular,46089.16,2026-04-15,Y
CUST0000097,At Risk,55250.36,2026-03-04,N
CUST0000098,Regular,76363.59,2026-03-27,Y
CUST0000099,At Risk,35987.23,2026-03-11,Y
CUST0000100,High Value,39646.54,2026-07-04,Y
CUST0000101,At Risk,28610.78,2026-02-03,Y
CUST0000102,Regular,42901.09,2026-05-22,Y
CUST0000103,Occasional,26082.71,2026-05-02,N
CUST0000104,High Value,59507.9,2026-06-09,N
CUST0000105,At Risk,78355.64,2026-05-29,N
CUST0000106,At Risk,33390.67,2026-02-25,N
CUST0000107,Regular,23027.69,2026-07-20,Y
CUST0000108,At Risk,86557.39,2026-06-14,N
CUST0000109,High Value,16723.47,2026-05-02,Y
CUST0000110,Regular,75569.61,2026-05-26,N
CUST0000111,Regular,48008.19,2026-04-28,Y
CUST0000112,Occasional,78937.05,2026-01-31,Y
CUST0000113,Regular,37222.92,2026-03-06,Y
