payment_id,order_id,customer_id,payment_timestamp,payment_method,card_last4,transaction_amount,currency,payment_status
PAY000000001,ORD000040374,CUST0002821,2026-07-25T17:55:34,UPI,7737,4256.78,INR,SUCCESS
PAY000000002,ORD000043632,CUST0002230,2026-04-24T11:13:21,BANK_TRANSFER,6142,4833.94,GBP,SUCCESS
PAY000000003,ORD000030988,CUST0004297,2026-03-26T16:38:00,UPI,8661,390.31,USD,SUCCESS
PAY000000004,ORD000041955,CUST0008929,2026-04-03T23:33:23,BANK_TRANSFER,0932,3324.49,INR,FAILED
PAY000000005,ORD000095767,CUST0005205,2026-05-07T13:20:10,CARD,4662,4132.95,INR,SUCCESS
PAY000000006,ORD000034729,CUST0002383,2026-02-27T10:13:00,UPI,8826,4977.72,INR,FAILED
PAY000000007,ORD000001895,CUST0007621,2026-05-05T22:13:33,CARD,5314,2827.28,GBP,SUCCESS
PAY000000008,ORD000015661,CUST0004692,2026-04-12T09:38:32,UPI,6964,1954.17,INR,SUCCESS
PAY000000009,ORD000038564,CUST0002944,2026-04-23T12:35:14,UPI,0379,4483.7,INR,SUCCESS
PAY000000010,ORD000091053,CUST0005389,2026-04-30T21:08:06,BANK_TRANSFER,3431,4277.44,GBP,FAILED
PAY000000011,ORD000064299,CUST0005034,2026-02-11T14:03:57,BANK_TRANSFER,1275,1217.88,GBP,SUCCESS
PAY000000012,ORD000053144,CUST0005006,2026-07-06T01:31:51,CARD,5661,100.14,INR,FAILED
PAY000000013,ORD000060973,CUST0000119,2026-03-09T20:23:19,UPI,9371,284.73,INR,SUCCESS
PAY000000014,ORD000060288,CUST0004497,2026-07-18T23:17:42,CARD,8647,1717.7,INR,SUCCESS
PAY000000015,ORD000024635,CUST0008701,2026-03-03T17:29:56,CARD,3090,3835.29,INR,SUCCESS
PAY000000016,ORD000094431,CUST0002066,2026-06-27T14:07:47,BANK_TRANSFER,4072,2848.11,INR,SUCCESS
PAY000000017,ORD000007548,CUST0001943,2026-02-20T14:58:59,CARD,2392,1021.61,USD,SUCCESS
PAY000000018,ORD000077294,CUST0003740,2026-04-29T07:14:12,BANK_TRANSFER,0939,1765.61,INR,SUCCESS
PAY000000019,ORD000045025,CUST0000635,2026-02-14T13:03:01,WALLET,4977,1234.02,GBP,SUCCESS
PAY000000020,ORD000093417,CUST0003972,2026-02-07T14:59:44,UPI,3859,2850.42,INR,SUCCESS
PAY000000021,ORD000075400,CUST0003568,2026-01-23T07:19:04,WALLET,9198,2020.85,USD,SUCCESS
PAY000000022,ORD000081517,CUST0004245,2026-06-22T18:50:56,CARD,4643,2612.67,INR,SUCCESS
PAY000000023,ORD000097943,CUST0009679,2026-02-17T10:43:52,UPI,0506,4202.09,INR,SUCCESS
PAY000000024,ORD000024681,CUST0001383,2026-07-19T23:20:45,CARD,4455,2532.15,INR,SUCCESS
PAY000000025,ORD000081282,CUST0003470,2026-03-22T20:02:06,UPI,7312,3406.39,GBP,SUCCESS
PAY000000026,ORD000087069,CUST0003971,2026-03-25T02:20:48,UPI,7707,4262.29,INR,SUCCESS
PAY000000027,ORD000059495,CUST0001082,2026-06-29T10:33:41,WALLET,8383,2119.35,USD,SUCCESS
PAY000000028,ORD000053542,CUST0000572,2026-05-28T01:05:49,WALLET,7102,1973.37,USD,SUCCESS
