product_id,product_name,category,subcategory,brand,unit_price,cost_price,currency,active_flag
PRD000001,Electronics Product 0001,Electronics,Premium,Nova,2362.9,1244.76,INR,Y
PRD000002,Electronics Product 0002,Electronics,Standard,Zenith,1383.55,775.33,INR,Y
PRD000003,Grocery Product 0003,Grocery,Premium,Vertex,529.14,451.4,INR,Y
PRD000004,Beauty Product 0004,Beauty,Standard,Zenith,1874.95,1666.6,INR,Y
PRD000005,Home Product 0005,Home,Standard,Nova,452.5,1664.3,USD,Y
PRD000006,Grocery Product 0006,Grocery,Premium,Nova,959.44,72.59,USD,Y
PRD000007,Home Product 0007,Home,Standard,Vertex,766.45,1432.24,INR,Y
PRD000008,Electronics Product 0008,Electronics,Basic,Apex,999.17,503.65,INR,Y
PRD000009,Grocery Product 0009,Grocery,Basic,Zenith,1002.2,1766.13,GBP,Y
PRD000010,Electronics Product 0010,Electronics,Premium,Vertex,450.53,1732.67,USD,Y
PRD000011,Electronics Product 0011,Electronics,Basic,Orion,867.49,1416.21,USD,N
PRD000012,Beauty Product 0012,Beauty,Premium,Orion,2249.26,344.57,INR,Y
PRD000013,Electronics Product 0013,Electronics,Basic,Zenith,1718.71,1692.65,GBP,Y
PRD000014,Grocery Product 0014,Grocery,Standard,Nova,2372.44,1657.63,GBP,Y
PRD000015,Sports Product 0015,Sports,Premium,Vertex,1270.27,1201.41,USD,Y
PRD000016,Sports Product 0016,Sports,Standard,Zenith,322.58,758.54,USD,Y
PRD000017,Beauty Product 0017,Beauty,Basic,Vertex,1018.16,1501.2,USD,Y
PRD000018,Home Product 0018,Home,Standard,Zenith,1518.62,582.08,USD,Y
PRD000019,Sports Product 0019,Sports,Premium,Zenith,1185.6,1622.42,GBP,Y
PRD000020,Sports Product 0020,Sports,Premium,Vertex,1291.05,1140.39,USD,Y
PRD000021,Home Product 0021,Home,Basic,Vertex,565.48,360.84,INR,Y
PRD000022,Home Product 0022,Home,Standard,Zenith,2125.1,133.87,USD,N
PRD000023,Home Product 0023,Home,Basic,Orion,1238.47,441.44,GBP,Y
PRD000024,Electronics Product 0024,Electronics,Standard,Apex,443.84,1724.46,GBP,Y
PRD000025,Electronics Product 0025,Electronics,Basic,Apex,2294.09,221.08,INR,Y
PRD000026,Sports Product 0026,Sports,Basic,Zenith,1490.65,1710.22,USD,N
PRD000027,Sports Product 0027,Sports,Basic,Orion,2077.27,987.53,INR,Y
PRD000028,Fashion Product 0028,Fashion,Standard,Apex,2100.46,501.33,GBP,Y
PRD000029,Sports Product 0029,Sports,Premium,Vertex,1102.48,1285.24,INR,Y
PRD000030,Grocery Product 0030,Grocery,Standard,Zenith,206.04,274.04,USD,Y
PRD000031,Sports Product 0031,Sports,Premium,Nova,1040.1,597.59,USD,Y
PRD000032,Electronics Product 0032,Electronics,Premium,Orion,976.74,1386.32,GBP,Y
PRD000033,Beauty Product 0033,Beauty,Standard,Orion,19.71,635.11,USD,Y
PRD000034,Beauty Product 0034,Beauty,Basic,Zenith,2000.67,1616.37,USD,Y
PRD000035,Grocery Product 0035,Grocery,Standard,Orion,77.42,607.02,GBP,Y
PRD000036,Sports Product 0036,Sports,Premium,Orion,2299.26,1765.36,GBP,Y
PRD000037,Fashion Product 0037,Fashion,Basic,Zenith,1659.18,153.85,USD,Y
PRD000038,Fashion Product 0038,Fashion,Premium,Nova,654.09,591.25,USD,Y
PRD000039,Grocery Product 0039,Grocery,Standard,Vertex,1881.26,1497.97,USD,Y
PRD000040,Fashion Product 0040,Fashion,Premium,Zenith,134.95,1713.6,INR,Y
PRD000041,Sports Product 0041,Sports,Premium,Nova,2374.28,361.25,INR,N
PRD000042,Home Product 0042,Home,Premium,Apex,1186.53,208.56,INR,Y
PRD000043,Sports Product 0043,Sports,Standard,Vertex,423.63,1094.22,GBP,Y
PRD000044,Home Product 0044,Home,Standard,Nova,1448.82,1672.21,GBP,Y
PRD000045,Fashion Product 0045,Fashion,Basic,Apex,194.61,1244.03,GBP,Y
PRD000046,Electronics Product 0046,Electronics,Basic,Vertex,2126.48,1081.94,INR,N
